X,Y,ID_1,
-11343622.5700739,3974417.48709446,0
-11343622.3907428,3974417.60279198,1
-11343622.1188536,3974417.76476851,2
-11343621.8411795,3974417.91517529,3
-11343619.9553099,3974419.02008663,4
-11343619.5561535,3974419.23991193,5
-11343618.5785094,3974419.84732392,6
-11343617.5835107,3974419.05479589,7
-11343617.9190335,3974418.84654035,8
-11343618.1099344,3974418.70191845,9
-11343618.9371717,3974418.21598885,10
-11343619.1917063,3974418.03665769,11
-11343619.4346711,3974417.89203579,12
-11343620.1982747,3974417.44660033,13
-11343620.3024025,3974417.38875157,14
-11343620.4585941,3974417.29040867,15
-11343621.2684768,3974416.81604883,16
-11343621.5692903,3974416.66564205,17
-11343621.679203,3974416.55862184,18
-11343621.8151476,3974416.49788064,19
-11343622.1853797,3974416.2664856,20
-11343622.9460909,3974415.84418964,21
-11343623.2787212,3974415.6359341,22
-11343623.8022525,3974415.33512054,23
-11343623.1369918,3974414.34590672,24
-11343622.9171665,3974414.47028156,25
-11343622.8188236,3974414.50499082,26
-11343622.5816437,3974414.64672028,27
-11343622.3242167,3974414.77687999,28
-11343622.0725746,3974414.92728677,29
-11343621.6097845,3974415.21653058,30
-11343621.5056567,3974415.25123984,31
-11343620.7608539,3974415.69378286,32
-11343620.6480488,3974415.76030894,33
-11343620.5728454,3974415.80080307,34
-11343620.3472353,3974415.91360815,35
-11343620.0001427,3974416.13921832,36
-11343619.8468435,3974416.23466878,37
-11343619.731146,3974416.2896251,38
-11343619.3233122,3974416.53837477,39
-11343618.9733272,3974416.74373788,40
-11343618.7563943,3974416.86522028,41
-11343618.6435893,3974416.92596147,42
-11343618.5278917,3974417.03008925,43
-11343618.3659152,3974417.14289433,44
-11343618.2733572,3974417.17471115,45
-11343616.7663969,3974416.65696473,46
-11343618.3167438,3974415.72559968,47
-11343618.6696212,3974415.48841976,48
-11343619.1555508,3974415.24545496,49
-11343619.2596786,3974415.12975744,50
-11343619.3638063,3974415.0892633,51
-11343619.5373526,3974414.98513553,52
-11343620.2373226,3974414.57440933,53
-11343620.8765514,3974414.19839238,54
-11343621.1744726,3974414.0248461,55
-11343622.2880612,3974413.38272485,56
-11343621.6112307,3974412.36747909,57
-11343621.1715801,3974412.63936827,58
-11343620.3645899,3974413.09926592,59
-11343620.1245175,3974413.25545757,60
-11343619.823704,3974413.41164923,61
-11343619.7282535,3974413.48106774,62
-11343619.2249693,3974413.78477374,63
-11343619.0803474,3974413.89757882,64
-11343618.7101153,3974414.0855873,65
-11343617.9465117,3974414.58597908,66
-11343617.5271082,3974414.82894388,67
-11343617.3853787,3974414.88100776,68
-11343616.7808591,3974415.2714869,69
-11343620.7261447,3974411.43611403,70
-11343620.6104471,3974410.06220595,71
-11343620.0608839,3974410.42665315,72
-11343619.7224686,3974410.58573724,73
-11343619.5952014,3974410.66672551,74
-11343619.3956231,3974410.79399278,75
-11343619.0456381,3974411.03695758,76
-11343619.4447946,3974409.36802082,77
-11343619.1208415,3974409.55458307,78
-11343618.9545263,3974409.65147975,79
-11343618.4295488,3974409.96964793,80
-11343618.1287353,3974410.18368835,81
-11343618.0000218,3974410.2559993,82
-11343617.8684158,3974410.32107916,83
-11343617.7744116,3974410.39194389,84
-11343617.6992082,3974410.43677668,85
-11343617.6312359,3974410.47293216,86
-11343617.512646,3974410.56838261,87
-11343616.9341584,3974410.8793197,88
-11343616.5407868,3974411.11649962,89
-11343616.4279817,3974411.18013326,90
-11343616.3267464,3974411.24087446,91
-11343616.0172555,3974411.45780732,92
-11343615.7598285,3974411.5706124,93
-11343615.6007444,3974411.66606286,94
-11343615.5313259,3974411.70366455,95
